# Generated by from ihu_topmodel.bsh start_date=2010-01-01 end_date=2019-12-31
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.007480 .00121
0.006033 .00059
0.001984 .00031
0.000420 .00004
0.002909 .00030
0.005931 .00028
0.003419 .00050
0.014532 .00070
0.022673 .00076
0.006915 .00084
0.025907 .00134
0.004969 .00083
0.023663 .00127
0.002015 .00122
0.038838 .00100
0.022741 .00037
0.000612 .00054
0.004235 .00041
0.040160 .00055
0.016386 .00109
0.012341 .00086
0.004648 .00128
0.012214 .00095
0.011372 .00067
0.015225 .00049
0.025329 .00071
0.015434 .00078
0.004444 .00090
0.007156 .00049
0.031004 .00024
0.011466 .00088
0.005036 .00005
0.005172 .00011
0.005334 .00058
0.000038 .00076
0.000050 .00097
0.003554 .00101
0.000494 .00058
0.002679 .00034
0.000126 .00033
0.000196 0
0.014109 .00047
0.004837 .00048
0.004354 .00048
0.000875 .00059
0.027322 .00066
0.042869 .00117
0.003836 .00112
0.018391 .00138
0.008070 .00161
0.005643 .00181
0.014997 .00100
0.007864 .00122
0.001320 .00207
0.005250 .00134
0.001755 .00091
0.011504 .00080
0.010909 .00068
0.017946 .00117
0.007140 .00088
0.002023 .00119
0.000161 .00109
0.000219 .00093
0.001679 .00033
0.004852 .00083
0.001603 .00128
0.000047 .00131
0.037473 .00144
0.000551 .00084
0.000597 .00094
0.011139 .00096
0.005224 .00095
0.002211 .00084
0.000024 .00120
0.000107 .00106
0.000024 .00105
0.000029 .00135
0.000087 .00116
0.000015 .00114
0.000087 .00109
0.021250 .00115
0.002806 .00120
0.001770 .00141
0.006488 .00116
0.006643 .00132
0.000439 .00164
0.000436 .00119
0.001335 .00126
0.006966 .00098
0.000080 .00034
0.000063 .00108
0.001500 .00109
0.000381 .00140
0.000002 .00125
0.000000 .00132
0.000048 .00091
0.000158 .00087
0.000106 .00080
0.000000 .00062
0.000000 .00137
0.000114 .00134
0.000057 .00158
0.000000 .00161
0.002316 .00144
0.000930 .00092
0.006614 .00224
0.034898 .00135
0.017530 .00186
0.000407 .00124
0.004930 .00143
0.001433 .00186
0.000468 .00211
0.014004 .00148
0.003315 .00092
0.006346 .00247
0.007751 .00075
0.002770 .00126
0.003485 .00220
0.002645 .00219
0.006385 .00207
0.006752 .00148
0.000085 .00233
0.001663 .00176
0.009900 .00092
0.001719 .00150
0.000049 .00115
0.002818 .00170
0.000450 .00240
0.000618 .00276
0.000057 .00229
0.000004 .00297
0.000069 .00301
0.000070 .00314
0.000006 .00277
0.000935 .00287
0.000315 .00254
0.000111 .00260
0.003340 .00278
0.000646 .00230
0.011289 .00224
0.006328 .00261
0.002473 .00340
0.005508 .00141
0.002918 .00228
0.000669 .00338
0.000500 .00318
0.000171 .00355
0.000000 .00294
0.000933 .00281
0.000065 .00401
0.000001 .00329
0.000000 .00293
0.000000 .00310
0.000001 .00303
0.000005 .00172
0.000000 .00310
0.000000 .00378
0.000000 .00333
0.005478 .00373
0.001791 .00306
0.012920 .00251
0.009050 .00407
0.001308 .00334
0.001718 .00404
0.000324 .00349
0.000000 .00368
0.002259 .00170
0.002181 .00227
0.000056 .00284
0.000001 .00403
0.000120 .00360
0.000001 .00324
0.000006 .00163
0.000009 .00162
0.000001 .00182
0.000071 .00226
0.000000 .00344
0.000001 .00367
0.004995 .00463
0.002191 .00491
0.000013 .00380
0.000529 .00442
0.001738 .00315
0.007638 .00286
0.001884 .00257
0.002984 .00173
0.000339 .00449
0.000703 .00318
0.001271 .00279
0.000836 .00194
0.000000 .00319
0.010148 .00391
0.000575 .00390
0.000225 .00430
0.000258 .00462
0.002905 .00461
0.008716 .00458
0.001065 .00458
0.003620 .00370
0.000068 .00437
0.004366 .00300
0.008683 .00197
0.008495 .00415
0.011723 .00420
0.003053 .00413
0.000371 .00447
0.016868 .00403
0.000081 .00322
0.003523 .00397
0.013179 .00399
0.001048 .00424
0.008723 .00187
0.004312 .00371
0.000029 .00410
0.000026 .00443
0.001852 .00433
0.000001 .00431
0.008366 .00365
0.000018 .00480
0.000064 .00379
0.002196 .00492
0.020334 .00550
0.007052 .00386
0.000150 .00433
0.001761 .00496
0.000743 .00412
0.004795 .00469
0.002054 .00396
0.013879 .00384
0.000038 .00364
0.006350 .00212
0.000093 .00332
0.000917 .00413
0.000171 .00357
0.000000 .00450
0.005695 .00385
0.010438 .00416
0.000800 .00425
0.000853 .00364
0.001366 .00449
0.007952 .00338
0.000011 .00425
0.003658 .00268
0.016810 .00347
0.001937 .00207
0.005220 .00371
0.000536 .00384
0.000001 .00326
0.000071 .00357
0.000063 .00357
0.000052 .00312
0.000002 .00315
0.011005 .00155
0.015634 .00198
0.001776 .00339
0.000783 .00295
0.002850 .00333
0.000001 .00332
0.000248 .00184
0.000115 .00329
0.003256 .00325
0.000131 .00122
0.000063 .00306
0.001904 .00338
