# Generated by from ihu_topmodel.bsh start_date=2010-01-01 end_date=2019-12-31
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.000048 .00031
0.000400 .00010
0.005064 .00047
0.001592 .00059
0.000464 .00015
0.001274 .00024
0.002690 .00016
0.000002 0
0.000003 0
0.002178 0
0.000330 .00052
0.000142 .00034
0.000369 .00002
0.008196 .00001
0.011777 .00023
0.003343 .00017
0.001869 0
0.000406 0
0.001257 0
0.000002 .00065
0.000037 .00061
0.002207 .00027
0.016650 .00050
0.003056 .00023
0.000284 .00011
0.007709 .00045
0.000833 .00029
0.002547 .00034
0.028083 .00036
0.004117 .00035
0.006655 .00032
0.004178 .00016
0.011499 .00003
0.038643 .00056
0.000014 .00035
0.000063 0
0.000144 .00024
0.000017 .00028
0.000062 .00008
0.000189 .00013
0.000030 .00005
0.000006 .00012
0.000387 .00049
0.000520 .00017
0.001696 .00049
0.000130 .00066
0.000020 .00003
0.000959 0
0.000436 0
0.003859 .00040
0.003819 .00049
0.010363 .00045
0.029828 .00130
0.034638 .00088
0.003366 .00063
0.032139 0
0.007603 .00065
0.005630 .00059
0.010626 .00064
0.000051 .00018
0.013889 .00035
0.006465 .00033
0.007803 .00041
0.003874 .00054
0.011370 .00068
0.001092 .00062
0.005217 .00038
0.002806 .00083
0.003499 .00065
0.000038 .00069
0.000224 .00091
0.004836 .00071
0.000545 .00057
0.001147 .00067
0.000788 .00071
0.000423 .00070
0.000011 .00083
0.000005 .00079
0.000195 .00070
0.000009 .00073
0.000051 .00037
0.000736 .00061
0.000017 .00083
0.000000 .00101
0.000038 .00104
0.007805 .00143
0.013617 .00140
0.007844 .00166
0.012084 .00167
0.011909 .00130
0.001659 .00053
0.003897 .00112
0.013478 .00076
0.000347 .00086
0.000822 .00139
0.000013 .00165
0.000571 .00154
0.000321 .00142
0.000006 .00158
0.000049 .00160
0.000092 .00180
0.000009 .00212
0.000000 .00125
0.000094 .00114
0.000012 .00156
0.000000 .00175
0.004666 .00211
0.009832 .00132
0.004137 .00181
0.011915 .00162
0.001907 .00176
0.001672 .00216
0.015531 .00136
0.017498 .00178
0.002570 .00252
0.000001 .00266
0.000001 .00268
0.000001 .00251
0.000094 .00285
0.001357 .00166
0.001315 .00261
0.000641 .00217
0.000223 .00245
0.000315 .00233
0.000001 .00247
0.000000 .00301
0.000149 .00276
0.000001 .00298
0.000000 .00279
0.000059 .00283
0.001252 .00307
0.004270 .00338
0.000001 .00343
0.000000 .00274
0.000001 .00173
0.000000 .00268
0.000000 .00264
0.000001 .00222
0.000000 .00295
0.000001 .00285
0.000000 .00296
0.000051 .00329
0.000001 .00344
0.008547 .00290
0.026185 .00305
0.017471 .00295
0.003853 .00293
0.010139 .00362
0.008817 .00332
0.003142 .00348
0.002773 .00341
0.003162 .00293
0.000343 .00321
0.001637 .00283
0.002454 .00222
0.002441 .00309
0.002484 .00315
0.001886 .00370
0.000460 .00325
0.025391 .00377
0.020206 .00365
0.011969 .00298
0.002782 .00372
0.001309 .00381
0.001552 .00395
0.002278 .00361
0.003102 .00285
0.000464 .00328
0.000558 .00185
0.000558 .00411
0.000045 .00380
0.000063 .00493
0.000000 .00461
0.000116 .00215
0.000067 .00261
0.000109 .00410
0.005119 .00398
0.006553 .00387
0.002148 .00411
0.005588 .00381
0.005938 .00223
0.008675 .00351
0.000062 .00416
0.000482 .00478
0.000131 .00378
0.001266 .00450
0.003105 .00356
0.013261 .00209
0.004840 .00430
0.003496 .00469
0.009093 .00391
0.008355 .00366
0.002128 .00347
0.002347 .00391
0.002701 .00359
0.000251 .00496
0.000297 .00451
0.000166 .00432
0.003347 .00449
0.000497 .00416
0.000008 .00418
0.000000 .00496
0.000000 .00532
0.000001 .00516
0.011364 .00395
0.007475 .00383
0.001766 .00399
0.007315 .00424
0.003949 .00402
0.000806 .00455
0.002356 .00439
0.000001 .00420
0.000008 .00360
0.000000 .00396
0.020523 .00306
0.041237 .00166
0.003512 .00280
0.000643 .00427
0.025370 .00445
0.000786 .00278
0.003610 .00429
0.000012 .00393
0.000001 .00320
0.000000 .00293
0.000079 .00212
0.000016 .00181
0.000108 .00390
0.006742 .00455
0.000058 .00331
0.000015 .00409
0.002691 .00325
0.021358 .00409
0.008021 .00404
0.001618 .00430
0.007900 .00348
0.000008 .00381
0.020511 .00159
0.005449 .00264
0.000127 .00286
0.009033 .00298
0.022728 .00101
0.009320 .00150
0.007340 .00212
0.003938 .00322
0.000483 .00229
0.004234 .00356
0.007693 .00234
0.000456 .00314
0.009644 .00289
0.002509 .00345
0.003227 .00386
0.000759 .00353
0.000002 .00307
0.000414 .00286
0.003854 .00344
0.000649 .00267
0.008283 .00080
0.002268 .00204
0.005960 .00249
0.000010 .00184
0.000264 .00271
0.000003 .00167
0.003210 .00183
0.005777 .00244
0.004423 .00237
0.001745 .00260
0.013635 .00271
0.010143 .00295
0.007015 .00299
0.004400 .00229
0.006410 .00218
0.008554 .00193
0.016109 .00246
0.007669 .00265
0.003913 .00313
0.000155 .00270
0.000140 .00237
0.017239 .00114
0.006249 .00206
0.004180 .00175
0.007125 .00195
0.000858 .00229
0.010426 .00197
0.000189 .00250
0.005836 .00196
0.000227 .00164
0.008179 .00173
0.000013 .00190
0.000079 .00206
0.000007 .00203
0.000217 .00230
0.000032 .00259
0.024172 .00252
0.004010 .00068
0.001108 .00161
0.002331 .00191
0.014032 .00172
0.012348 .00207
0.001132 .00196
0.010276 .00099
0.005969 .00121
0.001094 .00103
0.011685 .00151
0.001522 .00040
0.000116 .00112
0.003025 .00110
0.001587 .00144
0.003296 .00108
0.040422 .00160
0.006184 .00159
0.000060 .00151
0.007915 .00117
0.004307 .00121
0.004699 .00143
0.001663 .00106
0.005125 .00112
0.001715 .00058
0.008080 .00084
0.000134 .00060
0.000945 .00083
0.009380 .00125
0.005925 .00076
0.005916 .00045
0.000149 .00060
0.006357 .00081
0.002256 .00045
0.001438 0
0.000137 .00022
0.000142 .00048
0.000753 .00034
0.000596 .00064
0.003648 .00060
0.000197 .00028
0.012743 .00060
0.000396 .00021
0.000045 0
0.000133 .00063
0.000003 .00075
0.001539 .00040
0.013607 .00043
0.001802 .00076
0.000006 .00023
0.001292 0
0.004659 .00031
0.000091 .00002
0.007598 .00063
0.012884 .00082
0.007570 .00115
0.021097 .00096
0.000415 .00124
0.021220 .00064
0.023158 .00076
0.036379 .00119
0.002181 .00097
0.004710 .00041
0.009121 .00108
0.005184 .00092
0.004035 .00080
0.013443 .00062
0.018853 .00100
0.012095 .00103
0.002517 .00074
0.004822 .00035
0.003056 .00034
0.011010 .00055
0.008241 .00130
0.000643 .00113
0.004889 0
0.004099 0
0.000211 .00042
0.000350 .00043
0.006052 .00013
0.007743 .00072
0.002017 .00012
0.005680 .00035
0.001229 .00046
0.007227 .00073
0.001837 .00075
0.003385 .00057
0.010880 .00016
0.011235 .00102
0.005872 .00097
0.011795 .00085
0.007363 .00030
0.000959 .00028
0.019645 .00085
0.007979 .00117
0.026272 .00096
0.000197 .00112
0.002777 .00082
0.000203 .00078
0.002147 .00033
0.000102 .00025
0.000450 .00031
0.002136 .00033
0.000082 .00096
0.000008 .00044
0.000117 0
0.000017 .00018
0.000175 .00029
0.003406 .00032
0.004348 .00062
0.007940 .00102
0.006208 .00102
0.006545 .00086
0.000285 .00087
0.003960 .00075
0.005015 .00031
0.009499 .00034
0.002386 .00063
0.000620 .00028
0.000086 .00007
0.000124 .00018
0.000075 .00089
0.000181 .00122
0.000065 .00111
0.000015 .00058
0.000004 .00042
0.006214 .00058
0.000487 .00030
0.000004 .00032
0.000125 .00075
0.002120 .00040
0.001703 .00027
0.000114 .00053
0.000415 .00044
0.000124 .00047
0.000020 .00071
0.000003 .00094
0.000000 .00096
0.000880 .00054
0.010110 .00086
0.000837 .00121
0.001283 .00127
0.006071 .00076
0.009891 .00089
0.004817 .00092
